Abbrev,Location,DomainID,DomainName,Lat,Long
CTBA,Barkhamsted,1,Northeast,41.9123,-72.9884
CTEW,Edwin Way Teale Trail Wood,1,Northeast,41.7966,-71.9274
CTGS,Greenwich-Stamford,1,Northeast,41.0826,-73.6138
CTHA,Hartford,1,Northeast,41.766,-72.6727
CTLH,Litchfield Hills,1,Northeast,41.7703,-73.2724
CTLS,Lakeville-Sharon,1,Northeast,41.9449,-73.4399
CTNH,New Haven,1,Northeast,41.3007,-72.9323
CTNL,New London,1,Northeast,41.3236,-72.1007
CTOL,Old Lyme-Saybrook,1,Northeast,41.2924,-72.427
CTOX,Oxford,1,Northeast,41.4,-73.1411
CTQV,Quinnipiac Valley,1,Northeast,41.4747,-72.7273
CTSM,Stratford-Milford,1,Northeast,41.1742,-73.1099
CTSR,Salmon River,1,Northeast,41.5533,-72.4485
CTST,Storrs,1,Northeast,41.8116,-72.2497
CTWE,Westport,1,Northeast,41.164,-73.358
CTWR,Woodbury-Roxbury,1,Northeast,41.5352,-73.2791
MAAT,Athol,1,Northeast,42.5944,-72.2203
MABB,Buzzards Bay,1,Northeast,41.6517,-70.6206
MACA,Cape Ann,1,Northeast,42.6112,-70.73
MACB,Central Berkshire,1,Northeast,42.4086,-73.2537
MACC,Cape Cod,1,Northeast,41.7207,-69.9968
MACO,Concord,1,Northeast,42.4333,-71.4333
MAGB,Greater Boston,1,Northeast,42.3973,-71.0955
MAGR,Greenfield,1,Northeast,42.5879,-72.6002
MAMC,Mid-Cape Cod,1,Northeast,41.7004,-70.3002
MAMI,Millis,1,Northeast,42.1675,-71.3572
MANB,Northern Berkshire,1,Northeast,42.6442,-73.1937
MANE,Newburyport,1,Northeast,42.7398,-70.8987
MANO,Northampton,1,Northeast,42.3439,-72.6028
MAPL,Plymouth,1,Northeast,41.8733,-70.6012
MAQB,Quabbin,1,Northeast,42.3712,-72.2783
MAQU,Quincy,1,Northeast,42.2167,-70.9333
MASP,Springfield,1,Northeast,42.1294,-72.5089
MATM,Taunton-Middleboro,1,Northeast,41.8691,-71.0324
MAUX,Uxbridge,1,Northeast,42.0671,-71.666
MAWE,Westminster,1,Northeast,42.5167,-71.9333
MAWO,Worcester,1,Northeast,42.3238,-71.7937
MDOA,Oakland,1,Northeast,39.4936,-79.3658
MEAU,Augusta,1,Northeast,44.3072,-69.7817
MEBB,Bangor-Bucksport,1,Northeast,44.7005,-68.7861
MEBK,Biddeford-Kennebunkport,1,Northeast,43.4434,-70.4788
MECA,Calais,1,Northeast,44.9496,-67.1788
MEDF,Dover-Foxcroft,1,Northeast,45.1607,-69.2323
MEFA,Farmington,1,Northeast,44.7031,-70.1631
MELA,Lewiston-Auburn,1,Northeast,44.1051,-70.2035
MEMB,Machias Bay,1,Northeast,44.6669,-67.3285
MEMT,Misery Township,1,Northeast,45.4407,-69.9318
MEOO,Orono-Old Town,1,Northeast,44.9052,-68.6839
MEPA,Greater Portland,1,Northeast,43.5858,-70.2242
MEPI,Presque Isle,1,Northeast,46.6812,-68.0155
MESW,Sweden,1,Northeast,44.0725,-70.819
METR,Thomaston-Rockland,1,Northeast,44.0815,-69.1684
MEWA,Waterville,1,Northeast,44.5641,-69.6631
MEYC,York County,1,Northeast,43.1811,-70.6268
NHBV,Baker Valley,1,Northeast,43.8438,-71.8897
NHCN,Concord,1,Northeast,43.2192,-71.5375
NHCS,Coastal New Hampshire,1,Northeast,42.9833,-70.8333
NHEU,Errol-Umbagog,1,Northeast,44.7811,-71.1379
NHHN,Hanover-Norwich,1,Northeast,43.7167,-72.2333
NHKE,Keene,1,Northeast,42.9303,-72.3123
NHLD,Lee-Durham,1,Northeast,43.1667,-70.9833
NHLN,Laconia-New Hampton,1,Northeast,43.5548,-71.5194
NHLT,Littleton,1,Northeast,44.2667,-71.75
NHNH,Nashua-Hollis,1,Northeast,42.8049,-71.5462
NHPH,Peterborough-Hancock,1,Northeast,42.9167,-71.9667
NHPI,Pittsburg,1,Northeast,45.0889,-71.2888
NJBO,Boonton,1,Northeast,40.85,-74.3833
NJGS,Great Swamp-Watchung Ridges,1,Northeast,40.6983,-74.4017
NJHR,Hackensack-Ridgewood,1,Northeast,40.9351,-74.0292
NJNH,Northwestern Hunterdon County,1,Northeast,40.6365,-74.9098
NJRA,Ramsey,1,Northeast,41.0935,-74.2541
NJRE,Raritan Estuary,1,Northeast,40.5167,-74.35
NJSO,Somerset County,1,Northeast,40.5823,-74.622
NJSU,Sussex County,1,Northeast,41.1186,-74.6385
NJWV,Walnut Valley,1,Northeast,40.976,-75.0226
NYAC,Albany County,1,Northeast,42.5046,-73.898
NYBI,Binghamton,1,Northeast,42.1541,-75.9647
NYBM,Beaver Meadow,1,Northeast,42.6757,-78.3721
NYBU,Buffalo,1,Northeast,43.0016,-78.9651
NYBW,Bronx-Westchester Region,1,Northeast,40.9117,-73.7825
NYCH,Conesus-Hemlock-Honeoye Lakes,1,Northeast,42.7776,-77.6161
NYCL,Clinton,1,Northeast,43.0825,-75.3249
NYCR,Cortland,1,Northeast,42.6735,-76.2685
NYCT,Catskill-Coxsackie,1,Northeast,42.2871,-73.8823
NYDC,Dutchess County,1,Northeast,41.687,-73.7933
NYEL,Elmira,1,Northeast,42.1397,-76.8307
NYEO,Eastern Orange County,1,Northeast,41.4811,-74.1473
NYEZ,Elizabethtown,1,Northeast,44.2151,-73.5951
NYFP,Fort Plain,1,Northeast,42.9316,-74.6247
NYFR,Dunkirk-Fredonia,1,Northeast,42.4327,-79.2756
NYGE,Geneva,1,Northeast,42.8667,-76.9833
